model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",random %,Residual,77%,46%,88%,"",""
Table S1 - 1c,Period,Gaussian,6369,fixed,(Intercept),0.087,-0.116,0.291,"",""
"","","","",fixed,scale(log(SD)),0.476,0.453,0.5,"",""
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.027,0.01,"",""
"","","","",fixed,scale(log(BodyMass)),0.046,-0.022,0.113,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.008,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.029,0.007,0.051,"",""
"","","","",fixed,scale(Temp),0,-0.028,0.027,"",""
"","","","",fixed,scale(Covid),-0.038,-0.197,0.125,"",""
"","","","",random %,sp_day_year (Intercept),8%,6%,10%,"",""
"","","","",random %,sp_loc (Intercept),0%,0%,4%,"",""
"","","","",random %,sp_loc scale(Covid),0%,0%,4%,"",""
"","","","",random %,IDLocality (Intercept),1%,0%,4%,"",""
"","","","",random %,IDLocality scale(Covid),1%,0%,4%,"",""
"","","","",random %,Species (Intercept),10%,9%,10%,"",""
"","","","",random %,genus (Intercept),7%,6%,6%,"",""
"","","","",random %,Country (Intercept),1%,-4%,5%,"",""
"","","","",random %,Country scale(Covid),1%,-4%,5%,"",""
"","","","",random %,Year (Intercept),3%,2%,4%,"",""
"","","","",random %,Residual,67%,49%,80%,"",""
Table S1 - 1d,Period,Gaussian,6369,fixed,(Intercept),0.078,-0.123,0.286,0.257389843486131,0.555425385462048
"","","","",fixed,scale(log(SD)),0.478,0.454,0.502,"",""
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.028,0.011,"",""
"","","","",fixed,scale(log(BodyMass)),0.046,-0.021,0.114,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.007,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.025,0.003,0.048,"",""
"","","","",fixed,scale(Temp),-0.007,-0.034,0.021,"",""
"","","","",fixed,scale(Covid),-0.035,-0.198,0.13,"",""
