model,response,error_structure,N,type,effect,estimate_r,lwr_r,upr_r,R2_mar,R2_con
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.026,0.011,"",""
"","","","",fixed,scale(log(BodyMass)),0.047,-0.019,0.115,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.008,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.029,0.007,0.052,"",""
"","","","",fixed,scale(Temp),-0.001,-0.029,0.027,"",""
"","","","",fixed,scale(Covid),-0.033,-0.2,0.129,"",""
"","","","",random %,sp_day_year (Intercept),8%,6%,10%,"",""
"","","","",random %,sp_loc (Intercept),0%,0%,4%,"",""
"","","","",random %,sp_loc scale(Covid),0%,0%,4%,"",""
"","","","",random %,IDLocality (Intercept),1%,0%,4%,"",""
"","","","",random %,IDLocality scale(Covid),1%,0%,4%,"",""
"","","","",random %,Species (Intercept),10%,9%,10%,"",""
"","","","",random %,genus (Intercept),7%,6%,6%,"",""
"","","","",random %,Country (Intercept),1%,-4%,5%,"",""
"","","","",random %,Country scale(Covid),1%,-4%,5%,"",""
"","","","",random %,Year (Intercept),3%,2%,4%,"",""
"","","","",random %,Residual,67%,49%,80%,"",""
Table 1d,Period,Gaussian,6369,fixed,(Intercept),0.077,-0.123,0.283,0.257389843486131,0.555425385462048
"","","","",fixed,scale(log(SD)),0.478,0.455,0.502,"",""
"","","","",fixed,scale(log(FlockSize)),-0.008,-0.027,0.01,"",""
"","","","",fixed,scale(log(BodyMass)),0.046,-0.022,0.111,"",""
"","","","",fixed,scale(sin(rad)),0.019,-0.007,0.046,"",""
"","","","",fixed,scale(cos(rad)),0.025,0.002,0.048,"",""
"","","","",fixed,scale(Temp),-0.007,-0.033,0.022,"",""
"","","","",fixed,scale(Covid),-0.036,-0.198,0.136,"",""
"","","","",random %,sp_day_year (Intercept),8%,7%,9%,"",""
"","","","",random %,sp_loc (Intercept),4%,4%,5%,"",""
"","","","",random %,IDLocality (Intercept),6%,6%,6%,"",""
"","","","",random %,Species (Intercept),9%,8%,9%,"",""
"","","","",random %,genus (Intercept),6%,6%,7%,"",""
"","","","",random %,Country (Intercept),1%,-4%,5%,"",""
"","","","",random %,Country scale(Covid),1%,-4%,5%,"",""
"","","","",random %,Year (Intercept),2%,1%,4%,"",""
"","","","",random %,Residual,62%,53%,73%,"",""
Table 2a,Period,Gaussian,5260,fixed,(Intercept),0.162,-0.179,0.513,"",""
"","","","",fixed,scale(log(SD)),0.462,0.436,0.489,"",""
"","","","",fixed,scale(log(FlockSize)),-0.01,-0.031,0.01,"",""
"","","","",fixed,scale(log(BodyMass)),-0.011,-0.121,0.099,"",""
"","","","",fixed,scale(sin(rad)),0.028,-0.001,0.058,"",""
"","","","",fixed,scale(cos(rad)),0.036,0.01,0.061,"",""
"","","","",fixed,scale(Temp),-0.005,-0.038,0.027,"",""
"","","","",fixed,scale(Covid),-0.036,-0.208,0.131,"",""
"","","","",random %,sp_day_year (Intercept),9%,4%,12%,"",""
"","","","",random %,sp_loc (Intercept),0%,0%,2%,"",""
"","","","",random %,sp_loc scale(Covid),0%,0%,2%,"",""
"","","","",random %,IDLocality (Intercept),1%,-1%,2%,"",""
"","","","",random %,IDLocality scale(Covid),1%,-1%,2%,"",""
"","","","",random %,Species (Intercept),0%,-1%,5%,"",""
"","","","",random %,Species scale(Covid),0%,-1%,5%,"",""
